Expression,Value
48 / 42,1.1428571428571428
48 + 43,91
48 - 43,5
48 + 44,92
48 - 44,4
48 * 44,2112
48 - 45,3
48 + 46,94
48 + 47,95
48 - 47,1
48 / 47,1.0212765957446808
48 + 48,96
48 / 49,0.9795918367346939
48 - 50,-2
48 * 50,2400
48 + 51,99
48 - 51,-3
48 - 52,-4
48 + 54,102
48 - 54,-6
48 * 54,2592
48 - 55,-7
48 * 55,2640
48 / 55,0.8727272727272727
48 + 56,104
48 - 56,-8
48 / 56,0.8571428571428571
48 + 57,105
48 / 57,0.8421052631578947
48 - 59,-11
48 * 59,2832
48 / 59,0.8135593220338984
48 - 60,-12
48 * 60,2880
48 / 60,0.8
48 * 62,2976
48 * 63,3024
48 / 63,0.7619047619047619
48 + 64,112
48 - 64,-16
48 / 64,0.75
48 - 65,-17
48 / 65,0.7384615384615385
48 * 66,3168
48 + 67,115
48 * 67,3216
48 / 67,0.7164179104477612
48 + 68,116
48 - 68,-20
48 * 68,3264
48 / 68,0.7058823529411765
48 - 69,-21
48 * 69,3312
48 / 69,0.6956521739130435
48 * 70,3360
48 + 71,119
48 - 71,-23
48 * 71,3408
48 + 72,120
48 - 72,-24
48 * 72,3456
48 / 72,0.6666666666666666
48 * 74,3552
48 / 74,0.6486486486486487
48 * 75,3600
48 + 76,124
48 * 76,3648
48 / 76,0.631578947368421
48 / 77,0.6233766233766234
48 * 78,3744
48 / 79,0.6075949367088608
48 + 80,128
48 - 80,-32
48 / 80,0.6
48 * 81,3888
48 / 81,0.5925925925925926
48 - 82,-34
48 + 83,131
48 / 83,0.5783132530120482
48 + 84,132
48 / 84,0.5714285714285714
48 - 85,-37
48 * 85,4080
48 / 85,0.5647058823529412
48 - 86,-38
48 * 86,4128
48 / 86,0.5581395348837209
48 + 87,135
48 / 87,0.5517241379310345
48 + 88,136
48 - 89,-41
48 * 89,4272
48 / 89,0.5393258426966292
48 + 90,138
48 * 90,4320
48 + 91,139
48 / 91,0.5274725274725275
48 / 92,0.5217391304347826
48 - 93,-45
48 * 94,4512
48 - 95,-47
48 * 95,4560
48 + 96,144
48 / 96,0.5
48 * 97,4656
48 * 98,4704
48 / 98,0.4897959183673469
48 - 99,-51
49 - 0,49
49 * 0,0
49 + 1,50
49 - 1,48
49 / 1,49.0
49 - 2,47
49 + 3,52
49 * 3,147
49 / 3,16.333333333333332
49 - 4,45
49 * 4,196
49 + 5,54
49 - 5,44
49 * 5,245
49 + 6,55
49 - 6,43
49 / 6,8.166666666666666
49 - 7,42
49 / 7,7.0
49 - 8,41
49 / 8,6.125
49 * 9,441
49 + 10,59
49 / 10,4.9
49 + 11,60
49 * 11,539
49 / 11,4.454545454545454
49 + 13,62
49 / 13,3.769230769230769
49 + 14,63
49 - 14,35
49 * 14,686
49 / 14,3.5
49 + 15,64
49 * 15,735
49 - 16,33
49 / 16,3.0625
49 * 18,882
49 - 19,30
49 * 19,931
49 / 19,2.5789473684210527
49 - 20,29
49 / 20,2.45
49 + 21,70
49 - 21,28
49 / 21,2.3333333333333335
49 + 22,71
49 - 22,27
49 / 22,2.227272727272727
49 + 23,72
49 - 23,26
49 + 24,73
49 - 24,25
49 - 25,24
49 * 25,1225
49 + 27,76
49 - 27,22
49 * 28,1372
49 / 28,1.75
49 - 29,20
49 / 29,1.6896551724137931
49 - 30,19
49 / 30,1.6333333333333333
49 + 32,81
49 - 32,17
49 * 32,1568
49 / 32,1.53125
49 + 33,82
49 / 33,1.4848484848484849
49 + 34,83
49 - 34,15
49 / 34,1.4411764705882353
49 - 35,14
49 / 35,1.4
49 + 36,85
49 - 36,13
49 - 37,12
49 / 37,1.3243243243243243
49 - 38,11
49 * 38,1862
49 / 38,1.2894736842105263
49 * 39,1911
49 + 40,89
49 - 41,8
49 * 41,2009
49 / 41,1.1951219512195121
49 - 42,7
49 / 42,1.1666666666666667
49 - 43,6
49 * 43,2107
49 + 44,93
49 - 44,5
49 / 44,1.1136363636363635
49 - 46,3
49 * 46,2254
49 + 47,96
49 - 47,2
49 * 47,2303
49 / 48,1.0208333333333333
49 - 49,0
49 - 50,-1
49 * 50,2450
49 + 51,100
49 - 51,-2
49 * 51,2499
49 / 51,0.9607843137254902
49 + 52,101
49 - 52,-3
49 / 52,0.9423076923076923
49 * 53,2597
49 / 53,0.9245283018867925
49 + 54,103
49 / 54,0.9074074074074074
49 - 55,-6
49 * 55,2695
49 + 56,105
49 - 56,-7
49 * 56,2744
49 - 57,-8
49 / 57,0.8596491228070176
49 + 58,107
49 - 58,-9
49 * 58,2842
49 + 59,108
49 + 60,109
49 - 60,-11
49 + 62,111
49 + 63,112
49 / 63,0.7777777777777778
49 - 64,-15
49 * 64,3136
49 + 65,114
49 * 65,3185
49 / 65,0.7538461538461538
49 + 66,115
49 * 66,3234
49 / 66,0.7424242424242424
49 + 67,116
49 / 67,0.7313432835820896
49 + 68,117
49 / 68,0.7205882352941176
49 - 69,-20
49 + 70,119
49 / 71,0.6901408450704225
49 - 72,-23
49 / 72,0.6805555555555556
49 + 73,122
49 * 73,3577
49 + 74,123
49 - 74,-25
49 / 74,0.6621621621621622
49 + 75,124
49 - 75,-26
49 / 75,0.6533333333333333
49 + 76,125
49 - 76,-27
49 / 76,0.6447368421052632
49 + 77,126
49 - 77,-28
49 * 77,3773
49 / 77,0.6363636363636364
49 / 78,0.6282051282051282
49 + 79,128
49 + 80,129
49 / 80,0.6125
49 + 81,130
49 / 81,0.6049382716049383
49 + 82,131
49 + 83,132
49 - 83,-34
49 / 83,0.5903614457831325
49 - 84,-35
49 * 84,4116
49 + 86,135
49 - 86,-37
49 * 86,4214
49 + 87,136
49 * 87,4263
49 / 87,0.5632183908045977
49 / 88,0.5568181818181818
49 + 89,138
49 - 89,-40
49 + 90,139
49 - 90,-41
49 / 91,0.5384615384615384
49 - 92,-43
49 / 92,0.532608695652174
49 - 93,-44
49 * 93,4557
49 + 94,143
49 * 95,4655
49 + 96,145
49 - 96,-47
49 - 97,-48
49 / 97,0.5051546391752577
49 * 99,4851
50 / 1,50.0
50 * 2,100
50 / 2,25.0
50 - 3,47
50 * 3,150
50 / 3,16.666666666666668
50 + 4,54
50 / 4,12.5
50 + 5,55
50 - 5,45
50 - 6,44
50 * 6,300
50 / 6,8.333333333333334
50 - 7,43
50 - 8,42
50 * 8,400
50 + 9,59
50 - 9,41
50 / 9,5.555555555555555
50 + 10,60
50 * 10,500
50 / 10,5.0
50 + 11,61
50 - 11,39
50 - 12,38
50 / 12,4.166666666666667
50 + 13,63
50 * 13,650
50 - 14,36
50 * 14,700
50 / 14,3.5714285714285716
50 + 15,65
50 * 15,750
50 + 16,66
50 * 16,800
50 / 16,3.125
50 - 17,33
50 - 18,32
50 * 18,900
50 / 18,2.7777777777777777
50 + 19,69
50 * 19,950
50 + 20,70
50 - 20,30
50 * 20,1000
50 - 21,29
50 + 22,72
50 * 22,1100
50 / 22,2.272727272727273
50 - 23,27
50 + 24,74
50 - 25,25
50 / 25,2.0
50 - 26,24
50 / 26,1.9230769230769231
50 * 27,1350
50 / 27,1.8518518518518519
50 + 28,78
50 * 28,1400
50 + 29,79
50 - 29,21
50 * 31,1550
50 * 32,1600
50 - 33,17
50 / 33,1.5151515151515151
50 + 34,84
50 - 34,16
50 + 35,85
50 - 35,15
50 - 36,14
50 * 36,1800
50 + 37,87
50 * 37,1850
50 + 38,88
50 + 39,89
50 - 39,11
50 / 39,1.2820512820512822
50 + 40,90
50 * 40,2000
50 + 41,91
50 * 41,2050
50 - 42,8
50 * 42,2100
50 / 42,1.1904761904761905
50 - 43,7
50 + 45,95
50 / 45,1.1111111111111112
50 * 46,2300
50 + 47,97
50 - 47,3
50 * 47,2350
50 / 47,1.0638297872340425
50 - 48,2
50 * 48,2400
50 / 48,1.0416666666666667
50 * 49,2450
50 * 50,2500
50 / 50,1.0
50 + 51,101
50 / 51,0.9803921568627451
50 + 52,102
50 - 52,-2
50 * 52,2600
50 / 52,0.9615384615384616
50 + 53,103
50 * 53,2650
50 - 54,-4
50 * 54,2700
50 / 54,0.9259259259259259
50 * 55,2750
50 - 56,-6
50 * 56,2800
50 + 57,107
50 * 57,2850
50 / 57,0.8771929824561403
50 - 59,-9
50 * 59,2950
50 + 60,110
50 * 60,3000
50 / 60,0.8333333333333334
50 + 61,111
50 - 61,-11
50 * 61,3050
50 / 61,0.819672131147541
50 - 62,-12
50 * 62,3100
50 * 63,3150
50 / 63,0.7936507936507936
50 + 64,114
50 - 64,-14
50 * 64,3200
50 / 64,0.78125
50 - 65,-15
50 * 65,3250
50 - 66,-16
50 * 67,3350
50 / 67,0.746268656716418
50 - 68,-18
50 / 68,0.7352941176470589
50 - 69,-19
50 / 69,0.7246376811594203
50 - 70,-20
50 + 71,121
50 / 71,0.704225352112676
50 * 72,3600
50 / 72,0.6944444444444444
50 + 73,123
50 - 73,-23
50 / 73,0.684931506849315
50 + 74,124
50 / 75,0.6666666666666666
50 + 76,126
50 - 76,-26
50 - 77,-27
50 / 77,0.6493506493506493
50 + 78,128
50 - 78,-28
50 / 78,0.6410256410256411
50 - 79,-29
50 * 79,3950
50 / 79,0.6329113924050633
50 - 81,-31
50 / 81,0.6172839506172839
50 - 82,-32
50 * 82,4100
50 / 82,0.6097560975609756
50 + 83,133
50 - 83,-33
50 * 83,4150
50 / 83,0.6024096385542169
50 + 84,134
50 - 84,-34
50 * 84,4200
50 / 84,0.5952380952380952
50 - 85,-35
50 + 86,136
50 / 86,0.5813953488372093
50 + 87,137
50 / 87,0.5747126436781609
50 + 88,138
50 - 88,-38
50 * 88,4400
50 / 88,0.5681818181818182
50 - 89,-39
50 + 91,141
50 - 91,-41
50 * 91,4550
50 / 91,0.5494505494505495
50 / 92,0.5434782608695652
50 - 93,-43
50 / 93,0.5376344086021505
50 - 94,-44
50 * 94,4700
50 / 94,0.5319148936170213
50 + 95,145
50 - 95,-45
50 * 95,4750
50 + 96,146
50 - 96,-46
50 / 96,0.5208333333333334
50 - 97,-47
50 * 97,4850
50 + 98,148
50 / 98,0.5102040816326531
50 - 99,-49
50 / 99,0.5050505050505051
51 + 0,51
51 + 1,52
51 - 1,50
51 + 2,53
51 / 2,25.5
51 + 3,54
51 - 3,48
51 - 4,47
51 * 4,204
51 + 5,56
51 / 6,8.5
51 + 7,58
51 - 7,44
51 * 7,357
51 + 9,60
51 - 9,42
51 / 9,5.666666666666667
51 * 10,510
51 / 10,5.1
51 * 11,561
51 - 12,39
51 * 12,612
51 / 12,4.25
51 + 13,64
51 * 13,663
51 + 15,66
51 * 15,765
51 + 16,67
51 + 17,68
51 - 17,34
51 * 17,867
51 + 19,70
51 / 19,2.6842105263157894
51 / 20,2.55
51 + 21,72
51 - 21,30
51 * 21,1071
51 - 22,29
51 * 22,1122
51 - 23,28
51 * 23,1173
51 / 23,2.217391304347826
51 - 24,27
51 / 24,2.125
51 + 25,76
51 / 25,2.04
51 * 26,1326
51 / 26,1.9615384615384615
51 + 27,78
51 / 27,1.8888888888888888
51 + 28,79
51 - 28,23
51 * 28,1428
51 + 29,80
51 * 29,1479
51 + 30,81
51 - 30,21
51 * 30,1530
51 - 31,20
51 / 31,1.6451612903225807
51 + 32,83
51 * 32,1632
51 / 32,1.59375
51 - 34,17
51 * 34,1734
51 - 35,16
51 * 35,1785
51 / 35,1.457142857142857
51 + 36,87
51 - 36,15
51 * 36,1836
51 - 38,13
51 * 38,1938
51 / 38,1.3421052631578947
51 + 39,90
51 / 39,1.3076923076923077
51 + 40,91
51 - 40,11
51 * 40,2040
51 / 40,1.275
51 + 41,92
51 * 41,2091
51 + 42,93
51 * 42,2142
51 * 43,2193
51 / 43,1.186046511627907
51 + 44,95
51 * 44,2244
51 / 44,1.1590909090909092
51 / 45,1.1333333333333333
51 - 46,5
51 * 46,2346
51 - 47,4
51 * 47,2397
51 / 47,1.0851063829787233
51 - 48,3
51 * 48,2448
51 + 49,100
51 * 49,2499
51 - 50,1
51 / 50,1.02
51 + 51,102
51 - 51,0
51 * 51,2601
51 + 52,103
51 + 53,104
51 * 53,2703
51 - 54,-3
51 * 54,2754
51 / 54,0.9444444444444444
51 + 55,106
51 - 55,-4
51 * 55,2805
51 - 57,-6
51 * 57,2907
51 + 58,109
51 - 58,-7
51 * 58,2958
51 / 58,0.8793103448275862
51 + 59,110
51 - 59,-8
51 * 59,3009
51 / 59,0.864406779661017
51 + 60,111
51 - 60,-9
51 * 60,3060
51 + 61,112
51 - 61,-10
51 / 61,0.8360655737704918
51 - 62,-11
51 * 62,3162
51 / 62,0.8225806451612904
51 + 63,114
51 * 63,3213
51 - 64,-13
51 / 64,0.796875
51 - 65,-14
51 * 65,3315
51 / 65,0.7846153846153846
51 - 66,-15
51 * 66,3366
51 - 67,-16
51 * 67,3417
51 / 67,0.7611940298507462
51 - 68,-17
51 / 68,0.75
51 - 69,-18
51 * 69,3519
51 * 70,3570
51 + 71,122
51 * 71,3621
51 - 72,-21
51 * 72,3672
51 + 73,124
51 - 73,-22
51 + 74,125
51 * 74,3774
51 / 74,0.6891891891891891
51 - 75,-24
51 * 75,3825
51 / 75,0.68
51 + 76,127
51 / 76,0.6710526315789473
51 + 77,128
51 - 77,-26
51 / 77,0.6623376623376623
51 * 78,3978
51 + 79,130
51 * 79,4029
51 - 80,-29
51 * 80,4080
51 * 81,4131
51 / 81,0.6296296296296297
51 - 82,-31
51 * 82,4182
51 + 83,134
51 - 83,-32
51 / 83,0.6144578313253012
51 * 84,4284
51 + 85,136
51 - 85,-34
51 * 85,4335
51 / 85,0.6
51 / 86,0.5930232558139535
51 / 87,0.5862068965517241
51 - 88,-37
51 * 88,4488
51 - 89,-38
51 * 89,4539
51 / 89,0.5730337078651685
51 / 90,0.5666666666666667
51 + 91,142
51 + 92,143
51 - 92,-41
51 / 92,0.5543478260869565
51 + 93,144
51 + 94,145
51 - 94,-43
51 * 94,4794
51 / 94,0.5425531914893617
51 - 95,-44
51 * 95,4845
51 / 95,0.5368421052631579
51 * 96,4896
51 / 96,0.53125
51 - 97,-46
51 / 98,0.5204081632653061
51 + 99,150
51 - 99,-48
51 / 99,0.5151515151515151
52 - 1,51
52 / 1,52.0
52 + 2,54
52 * 2,104
52 / 2,26.0
52 / 3,17.333333333333332
52 - 4,48
52 * 4,208
52 / 4,13.0
52 + 5,57
52 * 5,260
52 - 6,46
52 * 6,312
52 + 7,59
52 * 7,364
52 - 8,44
52 / 8,6.5
52 - 9,43
52 * 9,468
52 / 9,5.777777777777778
52 + 10,62
52 - 10,42
52 * 10,520
52 - 11,41
52 * 11,572
52 / 11,4.7272727272727275
52 + 12,64
52 - 12,40
52 / 12,4.333333333333333
52 + 13,65
52 - 13,39
52 * 13,676
52 / 13,4.0
52 - 14,38
52 / 14,3.7142857142857144
52 - 16,36
52 + 17,69
52 * 17,884
52 - 18,34
52 / 18,2.888888888888889
52 * 19,988
52 / 19,2.736842105263158
52 + 20,72
52 - 20,32
52 / 20,2.6
52 + 21,73
52 * 21,1092
52 / 21,2.4761904761904763
52 + 22,74
52 - 22,30
52 / 22,2.3636363636363638
52 - 23,29
52 * 23,1196
52 / 23,2.260869565217391
52 + 24,76
52 / 24,2.1666666666666665
52 - 25,27
52 * 25,1300
52 / 25,2.08
52 + 26,78
52 - 26,26
52 + 27,79
52 - 27,25
52 * 27,1404
52 + 28,80
52 - 28,24
52 * 28,1456
52 - 29,23
52 * 29,1508
52 * 30,1560
52 - 32,20
52 * 32,1664
52 / 32,1.625
52 * 33,1716
52 * 34,1768
52 / 34,1.5294117647058822
52 - 35,17
52 * 35,1820
52 / 35,1.4857142857142858
52 * 36,1872
52 + 37,89
52 + 38,90
52 * 38,1976
52 + 39,91
52 - 39,13
52 / 39,1.3333333333333333
52 + 41,93
52 * 41,2132
52 / 41,1.2682926829268293
52 * 42,2184
52 / 43,1.2093023255813953
52 / 44,1.1818181818181819
52 * 45,2340
52 / 45,1.1555555555555554
52 - 46,6
52 * 46,2392
52 - 47,5
52 * 47,2444
52 / 47,1.1063829787234043
52 + 48,100
52 * 48,2496
52 / 48,1.0833333333333333
52 - 49,3
52 - 50,2
52 * 50,2600
52 / 50,1.04
52 + 51,103
52 - 51,1
52 * 51,2652
52 + 52,104
52 - 52,0
52 + 53,105
52 + 54,106
52 - 54,-2
52 * 54,2808
52 / 54,0.9629629629629629
52 + 55,107
52 - 56,-4
52 * 56,2912
52 / 56,0.9285714285714286
52 + 57,109
52 + 58,110
52 * 58,3016
52 * 59,3068
52 / 59,0.8813559322033898
52 + 60,112
52 - 60,-8
52 * 60,3120
52 + 61,113
52 - 61,-9
52 / 61,0.8524590163934426
52 - 62,-10
52 / 62,0.8387096774193549
52 - 63,-11
52 * 63,3276
52 - 64,-12
52 * 64,3328
52 / 64,0.8125
52 + 65,117
52 - 65,-13
52 - 66,-14
52 / 66,0.7878787878787878
52 + 67,119
52 - 68,-16
52 / 68,0.7647058823529411
52 / 69,0.7536231884057971
52 + 70,122
52 / 70,0.7428571428571429
52 + 71,123
52 * 71,3692
52 + 72,124
52 - 72,-20
52 - 73,-21
52 * 73,3796
52 / 73,0.7123287671232876
52 - 74,-22
52 + 75,127
52 - 75,-23
52 * 75,3900
52 - 76,-24
52 - 77,-25
52 * 77,4004
52 / 77,0.6753246753246753
52 - 78,-26
52 / 78,0.6666666666666666
52 - 79,-27
52 - 80,-28
52 + 81,133
52 + 82,134
52 - 82,-30
52 * 82,4264
52 + 83,135
52 - 83,-31
52 / 83,0.6265060240963856
52 + 84,136
52 - 84,-32
52 / 84,0.6190476190476191
52 - 85,-33
52 + 86,138
52 / 86,0.6046511627906976
52 * 87,4524
52 + 88,140
52 + 89,141
52 - 89,-37
52 * 89,4628
52 + 90,142
52 - 90,-38
52 / 90,0.5777777777777777
52 + 91,143
52 - 91,-39
52 + 92,144
52 / 92,0.5652173913043478
52 - 93,-41
52 * 93,4836
52 / 93,0.5591397849462365
52 - 94,-42
52 + 95,147
52 / 95,0.5473684210526316
52 - 96,-44
52 * 96,4992
52 / 96,0.5416666666666666
52 + 97,149
52 - 97,-45
52 * 97,5044
52 / 97,0.5360824742268041
52 * 98,5096
52 / 98,0.5306122448979592
52 - 99,-47
52 * 99,5148
52 / 99,0.5252525252525253
53 + 0,53
53 * 0,0
53 * 1,53
53 / 1,53.0
53 + 2,55
53 - 2,51
53 * 2,106
53 / 2,26.5
53 * 3,159
53 / 3,17.666666666666668
53 - 4,49
53 + 5,58
53 - 5,48
53 * 5,265
53 / 5,10.6
53 + 6,59
53 * 6,318
53 - 7,46
53 * 7,371
53 / 7,7.571428571428571
53 - 8,45
53 * 8,424
53 + 9,62
53 - 9,44
53 * 9,477
53 + 10,63
53 * 10,530
53 / 10,5.3
53 * 11,583
53 + 12,65
53 - 12,41
53 / 12,4.416666666666667
53 - 13,40
53 + 14,67
53 - 14,39
53 * 14,742
53 / 14,3.7857142857142856
53 - 15,38
53 - 16,37
53 / 16,3.3125
53 - 17,36
53 * 17,901
53 / 17,3.1176470588235294
53 - 18,35
53 + 19,72
53 * 19,1007
53 / 19,2.789473684210526
53 / 20,2.65
53 + 21,74
53 - 21,32
53 / 21,2.5238095238095237
53 + 22,75
53 - 22,31
53 * 23,1219
53 + 24,77
53 / 24,2.2083333333333335
53 + 25,78
53 - 25,28
53 * 25,1325
53 / 25,2.12
53 - 26,27
53 - 27,26
53 / 27,1.962962962962963
53 + 28,81
53 - 28,25
53 * 28,1484
53 * 29,1537
53 / 29,1.8275862068965518
53 + 31,84
53 - 31,22
53 / 31,1.7096774193548387
53 * 32,1696
53 - 33,20
53 * 33,1749
53 + 34,87
53 * 34,1802
53 + 35,88
53 - 35,18
53 * 35,1855
53 + 36,89
53 / 36,1.4722222222222223
53 + 37,90
53 / 37,1.4324324324324325
53 + 39,92
53 + 40,93
53 * 40,2120
53 - 41,12
53 / 41,1.2926829268292683
53 + 42,95
53 / 42,1.2619047619047619
53 - 43,10
53 * 43,2279
53 + 44,97
53 - 44,9
53 * 44,2332
53 - 45,8
53 - 46,7
53 / 46,1.1521739130434783
53 + 47,100
53 / 47,1.127659574468085
53 / 49,1.0816326530612246
53 - 50,3
53 * 51,2703
53 - 52,1
53 * 52,2756
53 / 52,1.0192307692307692
53 - 53,0
53 * 53,2809
53 * 54,2862
53 / 54,0.9814814814814815
53 / 55,0.9636363636363636
53 + 56,109
53 / 56,0.9464285714285714
53 + 57,110
53 - 57,-4
53 * 57,3021
53 / 58,0.9137931034482759
53 - 59,-6
53 * 59,3127
53 - 60,-7
53 - 61,-8
53 / 61,0.8688524590163934
53 + 62,115
53 / 62,0.8548387096774194
53 * 63,3339
53 * 64,3392
53 + 65,118
53 - 65,-12
53 * 66,3498
53 / 66,0.803030303030303
53 + 67,120
53 - 67,-14
53 / 67,0.7910447761194029
53 + 68,121
53 * 68,3604
53 / 68,0.7794117647058824
53 + 69,122
53 - 69,-16
53 / 69,0.7681159420289855
53 + 70,123
53 - 70,-17
53 / 70,0.7571428571428571
53 - 71,-18
53 * 71,3763
53 / 71,0.7464788732394366
53 - 72,-19
53 * 72,3816
53 / 72,0.7361111111111112
53 - 73,-20
53 * 73,3869
53 / 73,0.726027397260274
53 - 74,-21
53 - 75,-22
53 * 75,3975
53 - 76,-23
53 / 76,0.6973684210526315
53 + 78,131
53 / 78,0.6794871794871795
53 + 79,132
53 - 79,-26
53 * 79,4187
53 - 81,-28
53 - 82,-29
53 * 82,4346
53 / 82,0.6463414634146342
53 - 83,-30
53 * 83,4399
53 / 83,0.6385542168674698
53 - 84,-31
53 * 84,4452
53 * 85,4505
53 + 86,139
53 * 86,4558
53 / 86,0.6162790697674418
53 / 87,0.6091954022988506
53 + 88,141
53 - 88,-35
53 / 88,0.6022727272727273
53 + 89,142
53 * 89,4717
53 - 90,-37
53 / 90,0.5888888888888889
53 + 91,144
53 + 92,145
53 - 92,-39
53 / 92,0.5760869565217391
53 - 93,-40
53 / 93,0.5698924731182796
53 + 94,147
53 - 94,-41
53 * 94,4982
53 - 95,-42
53 / 95,0.5578947368421052
53 * 96,5088
53 / 96,0.5520833333333334
53 + 97,150
53 * 97,5141
53 / 97,0.5463917525773195
53 + 98,151
53 * 98,5194
53 + 99,152
53 - 99,-46
53 * 99,5247
53 / 99,0.5353535353535354
54 + 0,54
54 - 0,54
54 + 1,55
54 - 3,51
54 * 3,162
54 / 3,18.0
54 + 4,58
54 * 4,216
54 / 4,13.5
54 + 5,59
54 / 5,10.8
54 + 6,60
54 * 6,324
54 - 7,47
54 * 7,378
54 - 8,46
54 / 8,6.75
54 - 9,45
54 * 9,486
54 + 10,64
54 - 11,43
54 - 12,42
54 * 12,648
54 * 13,702
54 + 14,68
54 - 15,39
54 * 15,810
54 + 16,70
54 * 17,918
54 / 18,3.0
54 - 19,35
54 / 19,2.8421052631578947
54 - 20,34
54 * 21,1134
54 + 22,76
54 * 22,1188
54 / 23,2.347826086956522
54 + 25,79
54 - 26,28
54 * 26,1404
54 + 27,81
54 - 27,27
54 + 28,82
54 / 28,1.9285714285714286
54 * 29,1566
54 - 30,24
54 * 30,1620
54 + 31,85
54 * 31,1674
54 / 31,1.7419354838709677
54 + 32,86
54 - 32,22
54 / 32,1.6875
54 + 33,87
54 - 33,21
54 * 33,1782
54 - 34,20
54 * 34,1836
54 / 34,1.588235294117647
54 + 35,89
54 / 35,1.542857142857143
54 + 36,90
54 * 36,1944
54 / 36,1.5
54 + 37,91
54 / 37,1.4594594594594594
54 + 39,93
54 + 40,94
54 / 40,1.35
54 + 41,95
54 - 41,13
54 * 41,2214
54 / 41,1.3170731707317074
54 / 42,1.2857142857142858
54 + 43,97
54 - 43,11
54 * 43,2322
54 / 43,1.255813953488372
54 + 44,98
54 - 44,10
54 * 44,2376
54 - 45,9
54 * 45,2430
54 - 46,8
54 + 47,101
54 * 47,2538
54 * 48,2592
54 + 49,103
54 / 49,1.1020408163265305
54 / 50,1.08
54 - 51,3
54 + 52,106
54 / 52,1.0384615384615385
54 + 53,107
54 / 53,1.0188679245283019
54 + 54,108
54 / 54,1.0
54 + 55,109
54 / 55,0.9818181818181818
54 + 56,110
54 / 56,0.9642857142857143
54 * 57,3078
54 - 58,-4
54 / 59,0.9152542372881356
54 + 60,114
54 / 60,0.9
54 * 61,3294
54 + 62,116
54 - 62,-8
54 * 62,3348
54 - 63,-9
54 * 63,3402
54 / 63,0.8571428571428571
54 - 64,-10
54 - 65,-11
54 - 66,-12
54 * 66,3564
54 + 67,121
54 / 67,0.8059701492537313
54 * 68,3672
54 - 69,-15
54 + 70,124
54 - 70,-16
54 * 71,3834
54 + 72,126
54 - 72,-18
54 / 72,0.75
54 - 73,-19
54 * 73,3942
54 / 74,0.7297297297297297
54 * 75,4050
54 + 76,130
54 - 76,-22
54 * 76,4104
54 * 77,4158
54 / 77,0.7012987012987013
54 + 78,132
54 - 78,-24
54 * 78,4212
54 / 78,0.6923076923076923
54 + 79,133
54 - 79,-25
54 * 80,4320
54 + 81,135
54 * 81,4374
54 - 82,-28
54 * 82,4428
54 * 83,4482
54 * 85,4590
54 / 85,0.6352941176470588
54 + 88,142
54 / 88,0.6136363636363636
54 - 89,-35
54 * 89,4806
54 - 90,-36
54 * 90,4860
54 / 90,0.6
54 + 91,145
54 / 91,0.5934065934065934
54 + 92,146
54 - 92,-38
54 / 92,0.5869565217391305
54 + 94,148
54 + 95,149
54 / 95,0.5684210526315789
54 - 96,-42
54 * 96,5184
54 + 97,151
54 - 97,-43
54 * 97,5238
54 / 97,0.5567010309278351
54 + 99,153
55 * 0,0
55 + 1,56
55 / 1,55.0
55 - 2,53
55 + 3,58
55 - 3,52
55 * 3,165
55 + 5,60
55 * 5,275
55 + 6,61
55 - 6,49
55 * 6,330
55 / 6,9.166666666666666
55 + 7,62
55 * 7,385
55 / 7,7.857142857142857
55 - 8,47
55 * 8,440
55 + 9,64
55 - 9,46
55 * 9,495
55 * 10,550
55 - 11,44
55 * 11,605
55 + 12,67
55 - 12,43
55 * 12,660
55 / 12,4.583333333333333
55 + 14,69
55 - 14,41
55 * 14,770
55 / 14,3.9285714285714284
55 - 15,40
55 * 15,825
55 / 15,3.6666666666666665
55 * 16,880
55 / 16,3.4375
55 + 17,72
55 - 17,38
55 * 17,935
55 / 17,3.235294117647059
55 - 18,37
55 / 18,3.0555555555555554
55 - 19,36
55 - 20,35
55 + 21,76
55 * 21,1155
55 / 21,2.619047619047619
55 + 22,77
55 - 22,33
55 * 22,1210
55 / 22,2.5
55 + 23,78
55 / 23,2.391304347826087
55 * 24,1320
55 / 24,2.2916666666666665
55 + 25,80
55 * 25,1375
55 - 26,29
55 / 26,2.1153846153846154
55 - 27,28
55 * 27,1485
55 / 27,2.037037037037037
55 / 28,1.9642857142857142
55 + 29,84
55 * 29,1595
55 + 30,85
55 + 31,86
55 * 31,1705
55 / 31,1.7741935483870968
55 * 32,1760
55 / 32,1.71875
55 + 33,88
55 - 33,22
55 * 33,1815
55 / 33,1.6666666666666667
55 - 34,21
55 * 34,1870
55 + 35,90
55 / 35,1.5714285714285714
55 / 36,1.5277777777777777
55 + 37,92
55 - 37,18
55 / 37,1.4864864864864864
55 + 38,93
55 - 38,17
55 + 39,94
55 * 39,2145
55 + 40,95
55 * 41,2255
55 + 42,97
55 - 42,13
55 * 42,2310
55 / 42,1.3095238095238095
55 - 43,12
55 * 43,2365
55 - 44,11
55 / 44,1.25
55 / 45,1.2222222222222223
55 * 46,2530
55 / 46,1.1956521739130435
55 + 47,102
55 - 47,8
55 + 48,103
55 - 48,7
55 * 48,2640
55 / 48,1.1458333333333333
55 - 49,6
55 * 49,2695
55 / 49,1.1224489795918366
55 / 50,1.1
55 + 51,106
55 - 51,4
55 * 51,2805
55 / 51,1.0784313725490196
55 + 52,107
55 / 52,1.0576923076923077
