Expression,Value
68/37,1.837837837837838
72/9,8.0
43-86,-43
25/2,12.5
16+29,45
14*17,238
74/21,3.5238095238095237
54/40,1.35
88*35,3080
70/13,5.384615384615385
27*99,2673
62/54,1.1481481481481481
46/32,1.4375
34-18,16
67*35,2345
65*55,3575
95-71,24
52/95,0.5473684210526316
79*20,1580
24/10,2.4
95*84,7980
36-41,-5
84+1,85
23*78,1794
38-52,-14
51/14,3.642857142857143
38+68,106
26-7,19
82+69,151
26/5,5.2
44/81,0.5432098765432098
29*66,1914
94-81,13
0+36,36
24-20,4
97-30,67
6/43,0.13953488372093023
85-77,8
15*92,1380
99-31,68
89*98,8722
97/82,1.1829268292682926
14-95,-81
65+73,138
90*3,270
27-49,-22
63+31,94
69-65,4
40+30,70
36+1,37
39/55,0.7090909090909091
20/85,0.23529411764705882
47+46,93
78*38,2964
85/82,1.0365853658536586
18*33,594
55+24,79
21*69,1449
30/10,3.0
61-73,-12
29*90,2610
77*58,4466
22+55,77
65/44,1.4772727272727273
29-47,-18
76-92,-16
75*31,2325
63+57,120
93-78,15
55/46,1.1956521739130435
60-5,55
10/67,0.14925373134328357
4+50,54
58+48,106
87+75,162
8-94,-86
18*73,1314
35*38,1330
39*60,2340
2-84,-82
58-12,46
18/42,0.42857142857142855
95*18,1710
50*94,4700
1/30,0.03333333333333333
74+37,111
39+3,42
84/77,1.0909090909090908
27/85,0.3176470588235294
8+68,76
62/18,3.4444444444444446
67*50,3350
29-38,-9
24/50,0.48
95+20,115
20/82,0.24390243902439024
99*65,6435
53-71,-18
4-70,-66
77-9,68
94-55,39
64/59,1.0847457627118644
64/50,1.28
64/61,1.0491803278688525
39+10,49
97*81,7857
12/11,1.0909090909090908
27-52,-25
39*40,1560
88-57,31
45*96,4320
35+17,52
47+55,102
32*34,1088
39+17,56
61/32,1.90625
10/82,0.12195121951219512
66*81,5346
53-67,-14
92*72,6624
86-90,-4
45-39,6
15*74,1110
70*8,560
34+79,113
19-79,-60
62-97,-35
69/31,2.225806451612903
24-18,6
60+94,154
28+62,90
27/86,0.313953488372093
48-14,34
32+99,131
65*81,5265
47*37,1739
92*97,8924
17*36,612
13/41,0.3170731707317073
71+34,105
17*78,1326
15+9,24
10+99,109
54+3,57
60*16,960
90*25,2250
3-51,-48
86-53,33
5+97,102
39*99,3861
44/49,0.8979591836734694
99*5,495
37+47,84
43-49,-6
59*78,4602
1*89,89
36*32,1152
98-37,61
40*4,160
34/38,0.8947368421052632
67/26,2.576923076923077
6-38,-32
73-99,-26
86+44,130
98*52,5096
30+66,96
78-49,29
55/20,2.75
96-11,85
18+35,53
74+54,128
61/76,0.8026315789473685
32/99,0.32323232323232326
11/71,0.15492957746478872
14+84,98
38+52,90
74*93,6882
84*51,4284
15*6,90
86+12,98
82-41,41
90-66,24
98/99,0.98989898989899
61+48,109
78*17,1326
63-97,-34
17/81,0.20987654320987653
79-78,1
97*99,9603
45-31,14
94*38,3572
24+63,87
48-26,22
82*11,902
66-18,48
89*53,4717
93/16,5.8125
5*90,450
76/1,76.0
42-2,40
53/2,26.5
82-80,2
75+35,110
27+83,110
86-47,39
24+96,120
91*99,9009
8+30,38
27-83,-56
91*41,3731
96+45,141
10/16,0.625
42*94,3948
75-57,18
59+36,95
34*42,1428
98/28,3.5
46*74,3404
63-20,43
99-69,30
6-59,-53
56+9,65
65+39,104
2*97,194
46/88,0.5227272727272727
20/63,0.31746031746031744
8*80,640
5*94,470
26-97,-71
86-49,37
10/42,0.23809523809523808
97/51,1.9019607843137254
56-34,22
6+56,62
52+12,64
67*84,5628
85+60,145
73+35,108
34+28,62
65+10,75
80-35,45
49/4,12.25
23+6,29
0/7,0.0
26*65,1690
20-92,-72
67*27,1809
20-42,-22
76/7,10.857142857142858
7+69,76
3+17,20
63*53,3339
33+24,57
44-71,-27
72*20,1440
15+50,65
64/66,0.9696969696969697
47+70,117
97+37,134
78-45,33
12+85,97
41+20,61
64/83,0.7710843373493976
20/98,0.20408163265306123
48*56,2688
27*46,1242
79-48,31
73+24,97
88+23,111
35/36,0.9722222222222222
67/21,3.1904761904761907
74+69,143
17/29,0.5862068965517241
67/32,2.09375
36*13,468
4/81,0.04938271604938271
25+44,69
78-55,23
94/56,1.6785714285714286
82/93,0.8817204301075269
53/81,0.654320987654321
37+65,102
94+35,129
53+74,127
38*35,1330
17-42,-25
31-78,-47
76*27,2052
78*32,2496
27-67,-40
89+79,168
89-76,13
67*38,2546
67/21,3.1904761904761907
69*46,3174
56-79,-23
12-64,-52
93-2,91
43+17,60
81*66,5346
61+39,100
18*24,432
38-83,-45
38*68,2584
49*18,882
27+6,33
86-34,52
8/69,0.11594202898550725
7*7,49
47*36,1692
97+46,143
40-15,25
92/49,1.8775510204081634
64-93,-29
77+79,156
1+63,64
46-60,-14
77+62,139
8/45,0.17777777777777778
71-38,33
85*13,1105
87+18,105
81/96,0.84375
71*73,5183
68*52,3536
29+92,121
38/49,0.7755102040816326
17*53,901
63*14,882
82+43,125
71*84,5964
63+43,106
28+58,86
55+32,87
76*43,3268
63/8,7.875
40+57,97
12+37,49
69/61,1.1311475409836065
39/1,39.0
4+36,40
94-81,13
44/13,3.3846153846153846
37/41,0.9024390243902439
86/85,1.011764705882353
31-96,-65
79/7,11.285714285714286
20/28,0.7142857142857143
23+17,40
47/39,1.205128205128205
9*36,324
99+78,177
49*74,3626
37/31,1.1935483870967742
29-89,-60
88+12,100
32+8,40
29-10,19
91*88,8008
36-14,22
37+1,38
9+26,35
31*23,713
6*85,510
79-43,36
83+34,117
58+59,117
98*62,6076
45*48,2160
36/15,2.4
82/90,0.9111111111111111
35*6,210
83*2,166
13-78,-65
23/93,0.24731182795698925
93/94,0.9893617021276596
47-11,36
43*69,2967
68*14,952
4+17,21
85/55,1.5454545454545454
2-87,-85
18*55,990
94*86,8084
67-7,60
21+41,62
64+62,126
24+77,101
10+97,107
1+56,57
63+25,88
71-47,24
96-81,15
41*36,1476
94-7,87
82-56,26
15/91,0.16483516483516483
35+54,89
64-97,-33
5-2,3
68+30,98
11*20,220
13*57,741
58+50,108
44+92,136
65-33,32
37-30,7
9/41,0.21951219512195122
24-17,7
99*96,9504
49-11,38
80*48,3840
21*92,1932
27/7,3.857142857142857
28-70,-42
34+19,53
55+8,63
33*5,165
38-16,22
9-3,6
68+61,129
28*88,2464
35*12,420
50/92,0.5434782608695652
11/81,0.13580246913580246
22*65,1430
66/44,1.5
86/62,1.3870967741935485
73*17,1241
68/56,1.2142857142857142
69+48,117
13-84,-71
79/95,0.8315789473684211
88-99,-11
1+67,68
76+40,116
6/88,0.06818181818181818
16-45,-29
99-81,18
14-63,-49
26*49,1274
57/62,0.9193548387096774
86/73,1.178082191780822
62/37,1.6756756756756757
19/35,0.5428571428571428
99/37,2.675675675675676
80*4,320
32*28,896
13/77,0.16883116883116883
93-4,89
42*82,3444
56/3,18.666666666666668
8/47,0.1702127659574468
72+59,131
21+56,77
27+11,38
71/21,3.380952380952381
56*67,3752
71+34,105
12+42,54
63+82,145
83+63,146
64-19,45
4*60,240
3/87,0.034482758620689655
28/14,2.0
77/68,1.1323529411764706
77-53,24
42*47,1974
14+14,28
73*78,5694
20/2,10.0
30/18,1.6666666666666667
88/19,4.631578947368421
95+14,109
39-40,-1
22*44,968
64/24,2.6666666666666665
61*66,4026
12/76,0.15789473684210525
87*69,6003
87/65,1.3384615384615384
13/85,0.15294117647058825
64-48,16
91/18,5.055555555555555
56-15,41
71+82,153
16/84,0.19047619047619047
9-69,-60
31*65,2015
47-32,15
19/97,0.1958762886597938
34/3,11.333333333333334
40*12,480
34*73,2482
73+75,148
29-40,-11
61+37,98
73+83,156
1*77,77
99+8,107
66*83,5478
46/64,0.71875
9-36,-27
32+45,77
17+90,107
26*7,182
38+0,38
84/91,0.9230769230769231
49*9,441
80+82,162
16/37,0.43243243243243246
98/83,1.180722891566265
51+15,66
46/33,1.393939393939394
49+23,72
36-88,-52
21+68,89
50+54,104
52+98,150
52-22,30
14-60,-46
43/4,10.75
2-71,-69
69*35,2415
90*93,8370
26-59,-33
64+41,105
78-15,63
60+88,148
54+55,109
43+88,131
12*89,1068
94+75,169
92*66,6072
51*97,4947
13*20,260
65*55,3575
65/65,1.0
34+87,121
12-52,-40
85+9,94
53+8,61
54+96,150
18*99,1782
16+76,92
59+91,150
67-2,65
31-70,-39
33*34,1122
69+37,106
52+99,151
44*67,2948
66+92,158
35*42,1470
19*9,171
18-92,-74
28-9,19
42*64,2688
38/63,0.6031746031746031
71+61,132
0+95,95
78*36,2808
94*72,6768
37-20,17
21*71,1491
22+4,26
68+75,143
38-94,-56
36/24,1.5
35*10,350
11-96,-85
80+45,125
87*63,5481
61*93,5673
76+8,84
11+49,60
77-8,69
36/58,0.6206896551724138
58/41,1.4146341463414633
36-70,-34
83*79,6557
84*25,2100
42/96,0.4375
55/52,1.0576923076923077
85/19,4.473684210526316
56+51,107
60*30,1800
2*78,156
27-89,-62
26*17,442
40/42,0.9523809523809523
48*21,1008
0*95,0
36/44,0.8181818181818182
10*30,300
5/39,0.1282051282051282
71-34,37
36*93,3348
40-86,-46
44*35,1540
96-87,9
86-40,46
58+62,120
14+50,64
80*42,3360
25-24,1
91+9,100
39/41,0.9512195121951219
8-40,-32
66/70,0.9428571428571428
6-79,-73
17+14,31
59-51,8
1/64,0.015625
73+93,166
92/26,3.5384615384615383
47*65,3055
27*20,540
99+38,137
11*66,726
43+35,78
88/34,2.588235294117647
71*22,1562
63+26,89
18+33,51
85+19,104
95/36,2.638888888888889
6/11,0.5454545454545454
59/7,8.428571428571429
95+43,138
28+61,89
75/66,1.1363636363636365
26*59,1534
22-49,-27
67-14,53
22-90,-68
75-65,10
33/21,1.5714285714285714
27/20,1.35
63/69,0.9130434782608695
70*37,2590
50-99,-49
41*71,2911
49/71,0.6901408450704225
30*21,630
40-19,21
12/56,0.21428571428571427
4-47,-43
4*40,160
79+87,166
39+98,137
22/53,0.41509433962264153
80+47,127
17+13,30
93*14,1302
80+10,90
53+5,58
95+60,155
96-53,43
92+23,115
42-57,-15
26/54,0.48148148148148145
96+25,121
40-82,-42
96+55,151
71+46,117
29+88,117
61/42,1.4523809523809523
30*82,2460
66+30,96
31+31,62
81*41,3321
8-24,-16
36*72,2592
2-14,-12
10/44,0.22727272727272727
68*14,952
99+68,167
35+5,40
97/8,12.125
75*22,1650
4*83,332
81+77,158
13/67,0.19402985074626866
79+57,136
82+10,92
58*51,2958
83+17,100
87-60,27
97*58,5626
72/82,0.8780487804878049
65*22,1430
39-73,-34
83*16,1328
53+32,85
4/12,0.3333333333333333
72/69,1.0434782608695652
30*90,2700
72+27,99
36-84,-48
79*58,4582
29/40,0.725
49*68,3332
42+41,83
88-88,0
34+33,67
24-79,-55
68*94,6392
83-74,9
47-99,-52
58*11,638
50-36,14
84+35,119
7*60,420
70/54,1.2962962962962963
99-23,76
10*89,890
18-70,-52
5/15,0.3333333333333333
32+41,73
18+71,89
90/20,4.5
99+29,128
60+21,81
56-16,40
45-19,26
77*16,1232
73*40,2920
28-29,-1
13*80,1040
39*54,2106
70-62,8
24-89,-65
2*10,20
52+36,88
91-85,6
97+85,182
92+27,119
18+9,27
73*27,1971
82/19,4.315789473684211
96/72,1.3333333333333333
81+40,121
38/13,2.923076923076923
20/67,0.29850746268656714
31*99,3069
44-92,-48
94+53,147
73-98,-25
78+12,90
81+28,109
2+27,29
1-22,-21
13+81,94
46+97,143
63+82,145
6/78,0.07692307692307693
86-54,32
28-87,-59
22/27,0.8148148148148148
39/5,7.8
45*93,4185
49+24,73
92/37,2.4864864864864864
37+94,131
90*54,4860
55*91,5005
62/72,0.8611111111111112
39*45,1755
82+16,98
33+9,42
7-39,-32
57/74,0.7702702702702703
79/56,1.4107142857142858
54-9,45
65/71,0.9154929577464789
61+32,93
96*78,7488
2+99,101
39*90,3510
38-97,-59
59-32,27
52-76,-24
84/72,1.1666666666666667
10*35,350
83/29,2.8620689655172415
68*11,748
90/81,1.1111111111111112
58-38,20
9+93,102
76+42,118
57-97,-40
91+20,111
44*28,1232
62+10,72
11*11,121
51/34,1.5
89+79,168
0+1,1
48-22,26
20+39,59
97-31,66
37/5,7.4
74*42,3108
40+25,65
39-30,9
43/29,1.4827586206896552
5*75,375
21+28,49
25/31,0.8064516129032258
12+25,37
51-68,-17
48*1,48
39/76,0.5131578947368421
82-84,-2
20*96,1920
80/55,1.4545454545454546
35/57,0.6140350877192983
14-89,-75
89*47,4183
50/50,1.0
19*6,114
32+22,54
93+82,175
12/91,0.13186813186813187
34-20,14
91*36,3276
91-30,61
0*38,0
55*26,1430
1-69,-68
10+94,104
2-79,-77
17*29,493
61*52,3172
9/47,0.19148936170212766
36/71,0.5070422535211268
30/42,0.7142857142857143
9/48,0.1875
24+40,64
72-40,32
86-19,67
41/39,1.0512820512820513
44-68,-24
95-74,21
74*34,2516
44-43,1
94*11,1034
81/91,0.8901098901098901
9/72,0.125
38-88,-50
25-17,8
14/85,0.16470588235294117
48-88,-40
59-74,-15
68/68,1.0
55+2,57
40-68,-28
88-49,39
83/14,5.928571428571429
15+91,106
78/31,2.5161290322580645
59/49,1.2040816326530612
76-12,64
76+41,117
66*10,660
36/28,1.2857142857142858
56+16,72
42+12,54
57-66,-9
20-19,1
1/10,0.1
71/83,0.8554216867469879
4*56,224
3+22,25
0-59,-59
90*57,5130
50+66,116
40+82,122
76/29,2.6206896551724137
51/92,0.5543478260869565
92*6,552
19+45,64
53*67,3551
95*78,7410
45/85,0.5294117647058824
85/4,21.25
64*85,5440
93+67,160
56/41,1.3658536585365855
15*38,570
24/92,0.2608695652173913
17/88,0.19318181818181818
84-48,36
44/84,0.5238095238095238
26*57,1482
60*3,180
89/13,6.846153846153846
78-70,8
14-28,-14
55+34,89
25/90,0.2777777777777778
52/96,0.5416666666666666
94/89,1.0561797752808988
84*55,4620
21+2,23
17-93,-76
31-39,-8
46*16,736
91-31,60
64+31,95
43/6,7.166666666666667
73/10,7.3
43-14,29
71+50,121
83*47,3901
5+88,93
36-54,-18
12/75,0.16
94+74,168
84-54,30
23/24,0.9583333333333334
93-92,1
45*16,720
11*60,660
59+86,145
97*69,6693
82/66,1.2424242424242424
25/21,1.1904761904761905
95-31,64
55+78,133
70+85,155
40-63,-23
74/18,4.111111111111111
18+78,96
51*44,2244
25*15,375
63-32,31
17+4,21
60-72,-12
49*45,2205
94*8,752
47+82,129
99+39,138
21/48,0.4375
0+65,65
62*9,558
17+98,115
89+80,169
0*52,0
49+5,54
2-60,-58
59*81,4779
45/89,0.5056179775280899
45-11,34
22-12,10
29+44,73
59+16,75
44-13,31
94*33,3102
0/71,0.0
36+42,78
81-75,6
74*68,5032
57*69,3933
15+85,100
19-69,-50
45*57,2565
95*27,2565
54*81,4374
83+88,171
13*59,767
56*78,4368
61+33,94
35+9,44
53*15,795
61+69,130
50+40,90
21-44,-23
12/49,0.24489795918367346
38-65,-27
58-35,23
34+10,44
7-68,-61
25+87,112
57-46,11
72*24,1728
25-87,-62
6/79,0.0759493670886076
52-67,-15
66/77,0.8571428571428571
12*27,324
21/8,2.625
53/20,2.65
27+45,72
16-75,-59
92-38,54
42*42,1764
32+61,93
18*73,1314
75+88,163
53*53,2809
91+12,103
10/16,0.625
81+69,150
27-38,-11
70*39,2730
50*92,4600
19+51,70
86/64,1.34375
45/43,1.0465116279069768
31-91,-60
89-75,14
53+20,73
89-6,83
15-97,-82
10*7,70
1*67,67
43+5,48
54-43,11
0/82,0.0
34-28,6
29*7,203
4+13,17
49/6,8.166666666666666
41+91,132
70/54,1.2962962962962963
58/6,9.666666666666666
73-20,53
50+94,144
73*27,1971
69+29,98
17/69,0.2463768115942029
89/77,1.155844155844156
70+48,118
92+46,138
63*47,2961
2+36,38
13*37,481
60-41,19
36/11,3.272727272727273
29/68,0.4264705882352941
43*52,2236
38*43,1634
29-12,17
66*66,4356
22+31,53
81/63,1.2857142857142858
80*28,2240
59-55,4
82*58,4756
71/3,23.666666666666668
31-70,-39
51/9,5.666666666666667
2/24,0.08333333333333333
69*93,6417
19/50,0.38
59-93,-34
15/47,0.3191489361702128
20+36,56
29+12,41
71*93,6603
33+33,66
90-20,70
2+83,85
90-32,58
61/57,1.0701754385964912
45+43,88
55/92,0.5978260869565217
39+14,53
78-43,35
97-48,49
0*83,0
75/60,1.25
57/67,0.8507462686567164
58-38,20
0/43,0.0
39+70,109
83/54,1.537037037037037
25*67,1675
80-52,28
32+91,123
9+28,37
5/14,0.35714285714285715
38/23,1.6521739130434783
56*9,504
75*29,2175
21/4,5.25
43/88,0.48863636363636365
63-55,8
42+5,47
18+5,23
83-27,56
21-66,-45
14-74,-60
80/53,1.509433962264151
86-87,-1
1-68,-67
37-31,6
60-38,22
73/67,1.0895522388059702
15*27,405
74*10,740
54+15,69
67+13,80
60/25,2.4
53+17,70
63+23,86
71-46,25
19-13,6
44*14,616
25-3,22
29+81,110
98+88,186
28*31,868
75+30,105
71-85,-14
9/3,3.0
63*24,1512
37+87,124
71+77,148
84*8,672
5*47,235
15/82,0.18292682926829268
32-96,-64
20/61,0.32786885245901637
1+71,72
26*50,1300
27+82,109
62-74,-12
11+81,92
48*62,2976
44+45,89
36-7,29
48/11,4.363636363636363
29-41,-12
52/40,1.3
7*2,14
46-86,-40
12+29,41
89-87,2
22*64,1408
96-86,10
73+67,140
60-44,16
36/91,0.3956043956043956
25-53,-28
15/98,0.15306122448979592
93-39,54
24/1,24.0
90*43,3870
87/33,2.6363636363636362
43+27,70
98-86,12
94*46,4324
54-70,-16
8+43,51
0/64,0.0
41-45,-4
72+13,85
66/84,0.7857142857142857
54/12,4.5
31+34,65
24-92,-68
39+33,72
20-56,-36
35-33,2
46/4,11.5
71-0,71
84/78,1.0769230769230769
36/10,3.6
52/40,1.3
38/88,0.4318181818181818
81/61,1.3278688524590163
38-85,-47
98-76,22
95*0,0
29/91,0.31868131868131866
74/33,2.242424242424242
57*64,3648
12+99,111
33/13,2.5384615384615383
53*24,1272
61*75,4575
63/3,21.0
64-64,0
11/32,0.34375
22/99,0.2222222222222222
67+81,148
54-32,22
30/39,0.7692307692307693
65*42,2730
62-65,-3
54*95,5130
11*5,55
73+95,168
82+89,171
72*63,4536
85+3,88
27*84,2268
93-40,53
78-88,-10
57-17,40
51*43,2193
0/31,0.0
23-86,-63
4-88,-84
92-30,62
77*56,4312
11*77,847
29/92,0.31521739130434784
73*68,4964
2*68,136
24/44,0.5454545454545454
79-54,25
36*94,3384
71*3,213
54-71,-17
80/89,0.898876404494382
4+98,102
62*18,1116
83-72,11
75*29,2175
29-37,-8
9-50,-41
27-74,-47
62/96,0.6458333333333334
36+19,55
94*25,2350
62*94,5828
74+74,148
14/28,0.5
44+65,109
85*27,2295
92*26,2392
48*97,4656
85*84,7140
80/91,0.8791208791208791
31-87,-56
78*7,546
63-73,-10
57-73,-16
5*1,5
24/68,0.35294117647058826
97-38,59
55-61,-6
72+23,95
67/46,1.4565217391304348
18+37,55
95*87,8265
4-25,-21
55-39,16
15*8,120
52/31,1.6774193548387097
97+80,177
83*84,6972
34/31,1.096774193548387
6/27,0.2222222222222222
91/19,4.7894736842105265
72*59,4248
47/38,1.236842105263158
59-92,-33
56+96,152
24+23,47
66-30,36
76*11,836
7-53,-46
57*91,5187
31/51,0.6078431372549019
86+31,117
96*60,5760
28*66,1848
92/15,6.133333333333334
83/32,2.59375
87*95,8265
33/32,1.03125
25-63,-38
52*75,3900
82-82,0
98-99,-1
88*40,3520
41-61,-20
88/28,3.142857142857143
46/20,2.3
11-37,-26
43-2,41
66-57,9
37*38,1406
78+87,165
72/10,7.2
62+88,150
15+44,59
49+92,141
33*13,429
87+56,143
78-78,0
59+91,150
34-4,30
57-2,55
41+39,80
98/13,7.538461538461538
40-82,-42
26/55,0.4727272727272727
31/47,0.6595744680851063
0*53,0
28-86,-58
55-51,4
12-95,-83
63/61,1.0327868852459017
55/42,1.3095238095238095
91/68,1.338235294117647
72/27,2.6666666666666665
19/3,6.333333333333333
63*58,3654
28+78,106
45-54,-9
20-5,15
30+82,112
0/1,0.0
23-42,-19
9+12,21
12*82,984
78/21,3.7142857142857144
48/28,1.7142857142857142
81+12,93
56+76,132
53/17,3.1176470588235294
16-65,-49
67/95,0.7052631578947368
98/87,1.1264367816091954
20-46,-26
16+91,107
90*94,8460
50*24,1200
63-97,-34
72*74,5328
28/9,3.111111111111111
19/73,0.2602739726027397
63*74,4662
23-35,-12
33/15,2.2
40+28,68
58-99,-41
89*79,7031
96*63,6048
31/91,0.34065934065934067
52*4,208
71+61,132
15*15,225
8*95,760
98+93,191
6*76,456
91+88,179
80*23,1840
83-43,40
70/36,1.9444444444444444
75*54,4050
90+5,95
13*27,351
31/55,0.5636363636363636
91+0,91
36*38,1368
90/45,2.0
31-95,-64
28-90,-62
89/19,4.684210526315789
33+7,40
3-11,-8
35-30,5
43-1,42
86-68,18
22/53,0.41509433962264153
27+10,37
8/60,0.13333333333333333
96/80,1.2
70*37,2590
88+35,123
33+37,70
17+46,63
70+97,167
38/92,0.41304347826086957
45*19,855
23/38,0.6052631578947368
44*13,572
44*94,4136
80+19,99
75-60,15
60/86,0.6976744186046512
55/18,3.0555555555555554
44-14,30
0+9,9
97+63,160
52*61,3172
13*33,429
16/7,2.2857142857142856
62-11,51
88*92,8096
39/72,0.5416666666666666
85/36,2.361111111111111
36*46,1656
95*75,7125
58/17,3.411764705882353
23/98,0.23469387755102042
98/8,12.25
5+4,9
16+91,107
17+71,88
72*98,7056
58-62,-4
22*69,1518
55+65,120
59-69,-10
44/53,0.8301886792452831
72+85,157
93-61,32
49*40,1960
92-24,68
27*29,783
0*70,0
41*59,2419
84*45,3780
45-36,9
89*72,6408
82/41,2.0
67-49,18
20*0,0
5*12,60
0+87,87
19/51,0.37254901960784315
76/99,0.7676767676767676
10/49,0.20408163265306123
71/51,1.392156862745098
56*53,2968
10-95,-85
85-53,32
85+70,155
0/98,0.0
44/6,7.333333333333333
79*60,4740
91-11,80
41+88,129
52+49,101
54/54,1.0
34+89,123
15/45,0.3333333333333333
33-82,-49
10-16,-6
23*69,1587
66-58,8
94/76,1.236842105263158
48/6,8.0
18+73,91
19-33,-14
16*48,768
4*48,192
2+84,86
9+20,29
31+62,93
46*84,3864
20+8,28
41*82,3362
50/42,1.1904761904761905
66+17,83
89*78,6942
79+66,145
45/12,3.75
59-62,-3
85+0,85
19*36,684
97/56,1.7321428571428572
41/81,0.5061728395061729
28-74,-46
9/14,0.6428571428571429
99+63,162
9+64,73
3/85,0.03529411764705882
99/64,1.546875
18*37,666
13/50,0.26
25*53,1325
82+58,140
8+58,66
19*66,1254
18+95,113
14/11,1.2727272727272727
61/87,0.7011494252873564
93/13,7.153846153846154
81-75,6
27-70,-43
65/27,2.4074074074074074
74+47,121
90/58,1.5517241379310345
85*13,1105
95+43,138
19/53,0.3584905660377358
23-73,-50
18*4,72
33/40,0.825
40-88,-48
49*47,2303
84*79,6636
23/81,0.2839506172839506
49/55,0.8909090909090909
13/88,0.14772727272727273
44-4,40
68+78,146
73*6,438
78/37,2.108108108108108
46-47,-1
4-37,-33
61/91,0.6703296703296703
13*90,1170
82*7,574
33*74,2442
74*83,6142
94+75,169
68-66,2
62/13,4.769230769230769
35*0,0
43-35,8
6-66,-60
8/95,0.08421052631578947
66-67,-1
94+89,183
30-81,-51
76*23,1748
98+14,112
18/37,0.4864864864864865
50+59,109
23-61,-38
38-52,-14
18/91,0.1978021978021978
50+6,56
54+22,76
90+78,168
55+50,105
2+59,61
62/52,1.1923076923076923
17+14,31
71-56,15
16*50,800
34+21,55
58/51,1.1372549019607843
10-97,-87
65-80,-15
57-50,7
84-69,15
58*74,4292
7-78,-71
92*27,2484
45+96,141
90*85,7650
31-34,-3
86-92,-6
67/49,1.3673469387755102
96+29,125
24/41,0.5853658536585366
34/98,0.3469387755102041
97-35,62
6*84,504
85/54,1.5740740740740742
28+63,91
87/71,1.2253521126760563
7-27,-20
15/16,0.9375
52/44,1.1818181818181819
87+39,126
22-85,-63
62-72,-10
14*43,602
7-56,-49
49*13,637
94/90,1.0444444444444445
94-81,13
16/63,0.25396825396825395
62*25,1550
7/20,0.35
99*94,9306
3*1,3
3*6,18
76/55,1.3818181818181818
88-11,77
3+31,34
0+34,34
84/94,0.8936170212765957
57-20,37
76*27,2052
98*49,4802
50*73,3650
64*98,6272
18-77,-59
8*66,528
6-46,-40
23*8,184
34-20,14
68*56,3808
28-61,-33
42-78,-36
55+47,102
81*57,4617
65-31,34
71*23,1633
49/42,1.1666666666666667
55/57,0.9649122807017544
35/62,0.5645161290322581
43+14,57
33+3,36
90/50,1.8
18-34,-16
41*74,3034
9-66,-57
76+74,150
85-70,15
37*83,3071
11*33,363
10-2,8
1/76,0.013157894736842105
96/28,3.4285714285714284
36-53,-17
38+5,43
96/82,1.170731707317073
64+60,124
21*74,1554
88+96,184
95*50,4750
27+53,80
83+24,107
12*5,60
94-9,85
1-49,-48
47/87,0.5402298850574713
41+66,107
60+28,88
56*59,3304
64+12,76
54-33,21
0-20,-20
18+75,93
68+41,109
5-78,-73
25*75,1875
22-32,-10
76/69,1.1014492753623188
67-26,41
38/39,0.9743589743589743
85+15,100
8-44,-36
94+91,185
22+68,90
61*67,4087
48+98,146
69-35,34
54/92,0.5869565217391305
37+24,61
92/91,1.010989010989011
19*63,1197
32/6,5.333333333333333
61/93,0.6559139784946236
64*91,5824
2+33,35
32/81,0.3950617283950617
62*30,1860
45/78,0.5769230769230769
5*78,390
5+20,25
75*80,6000
95*22,2090
85-57,28
15+87,102
28+41,69
92*98,9016
12-81,-69
98/53,1.849056603773585
53+9,62
23/52,0.4423076923076923
91*34,3094
34+66,100
90/69,1.3043478260869565
73*1,73
89/62,1.435483870967742
50*77,3850
55+46,101
39/68,0.5735294117647058
1-53,-52
94-4,90
76/9,8.444444444444445
84*95,7980
10*29,290
21/69,0.30434782608695654
95+20,115
30+66,96
58+87,145
82-98,-16
90*31,2790
3+37,40
50*28,1400
55/66,0.8333333333333334
37/14,2.642857142857143
91-87,4
75/26,2.8846153846153846
24*14,336
2*36,72
11*7,77
41+77,118
58/60,0.9666666666666667
53+17,70
7-44,-37
37+48,85
83/8,10.375
58+48,106
67-38,29
44*19,836
10+89,99
62*2,124
43+60,103
59-31,28
56*66,3696
98/41,2.3902439024390243
14+99,113
76-28,48
7+36,43
3*4,12
69+62,131
20+94,114
32/41,0.7804878048780488
21*44,924
56-69,-13
79-7,72
39*8,312
7*25,175
43*45,1935
22/46,0.4782608695652174
1+69,70
79/84,0.9404761904761905
58-64,-6
92+41,133
1-5,-4
28+24,52
97/17,5.705882352941177
94*71,6674
44-0,44
20/88,0.22727272727272727
24-80,-56
2/15,0.13333333333333333
3*42,126
79*33,2607
66*52,3432
17-20,-3
72+33,105
59*80,4720
90-42,48
25/49,0.5102040816326531
34/28,1.2142857142857142
72+76,148
80/51,1.5686274509803921
7*98,686
75+65,140
10-48,-38
13/69,0.18840579710144928
80+45,125
36+66,102
41-12,29
6*21,126
79*7,553
10*90,900
53/73,0.726027397260274
84*40,3360
11-76,-65
45*7,315
21+4,25
24*41,984
46-46,0
5-86,-81
94*21,1974
51*34,1734
26+5,31
77/36,2.138888888888889
44-47,-3
26-91,-65
45/26,1.7307692307692308
52-79,-27
52*14,728
28*60,1680
13-75,-62
37+92,129
7/53,0.1320754716981132
66+90,156
32-98,-66
56+61,117
42/1,42.0
4+61,65
81-95,-14
89/92,0.967391304347826
89-86,3
31*90,2790
20/76,0.2631578947368421
97/59,1.6440677966101696
44+68,112
19-83,-64
66/8,8.25
89+30,119
27*76,2052
52/12,4.333333333333333
49*51,2499
14/75,0.18666666666666668
62*52,3224
20/41,0.4878048780487805
96-97,-1
70*72,5040
27+85,112
